"band_id","band_name","band_country","band_members","band_website","band_date_of_formation_id",
"1","Botsford LLC","Malaysia","5","http://www.boyerframi.info/","1",
"2","Toy, O'Reilly and Pfannerstill","Guernsey","10","http://skiles.info/","2",
"3","Miller-Boyer","Greenland","3","http://www.bahringer.com/","3",
"4","Cummings, Cremin and Abernathy","Lebanon","6","http://www.konopelski.biz/","4",
"5","Wolf-Kertzmann","Colombia","4","http://www.corwin.info/","5",
"6","Mitchell-Auer","Suriname","3","http://hellermarquardt.org/","6",
"7","Yost-Romaguera","South Georgia and the South Sandwich Islands","3","http://prosaccokutch.biz/","7",
"8","Streich, Abernathy and Marks","Congo","5","http://www.abshiresipes.net/","8",
"9","Ziemann Inc","Serbia","4","http://ratke.biz/","9",
"10","Heller, Pfannerstill and Blanda","Libyan Arab Jamahiriya","10","http://www.mcdermottritchie.com/","10",
"11","Sporer-Corkery","Ukraine","7","http://reichelconnelly.com/","11",
"12","Rodriguez and Sons","Sierra Leone","3","http://koch.org/","1",
"13","Mitchell, Carroll and Thiel","Ecuador","9","http://www.kreigerkoelpin.biz/","2",
"14","Wolff-Lueilwitz","Croatia","6","http://fisherbogisich.com/","3",
"15","Hodkiewicz LLC","Uzbekistan","1","http://schroeder.net/","4",
"16","Brakus-Spencer","Portugal","5","http://skiles.com/","5",
"17","Connelly Group","Northern Mariana Islands","9","http://lehner.biz/","6",
"18","Tromp, Davis and Feil","Singapore","4","http://www.jenkins.com/","7",
"19","Dibbert, Murazik and Rempel","British Indian Ocean Territory (Chagos Archipelago)","9","http://reichel.com/","8",
"20","Renner, Kris and Strosin","Monaco","10","http://feil.com/","9",
"21","Bogan and Sons","Brazil","4","http://www.renner.org/","10",
"22","Volkman-Senger","Colombia","8","http://hahn.com/","11",
"23","Zemlak, Berge and Hilpert","Mauritania","6","http://steuber.net/","1",
"24","Berge, Greenfelder and Swift","Myanmar","9","http://www.little.com/","2",
"25","Goodwin-Johns","Papua New Guinea","4","http://emard.com/","3",
"26","Baumbach and Sons","Iraq","4","http://www.lakin.com/","4",
"27","Mohr-Streich","Malta","4","http://www.larkin.com/","5",
"28","Ullrich-Witting","Macedonia","9","http://www.emmerich.info/","6",
"29","Kling, Feest and O'Connell","Mozambique","7","http://www.osinskikub.biz/","7",
"30","Schmeler Group","Uzbekistan","6","http://www.schusterstanton.com/","8",
"31","Kreiger, Wiza and Prosacco","Kazakhstan","3","http://www.connelly.com/","9",
"32","Jacobi Group","Bahrain","5","http://schambergerdeckow.com/","10",
"33","Gleason-Schimmel","Djibouti","5","http://www.rowe.org/","11",
"34","Bergnaum Ltd","Greece","8","http://ortiz.com/","1",
"35","Crooks, Labadie and Mitchell","Madagascar","6","http://www.rowe.com/","2",
"36","Rowe-Towne","Gabon","8","http://www.medhurstratke.com/","3",
"37","Cormier-Rohan","United States of America","1","http://www.wehner.com/","4",
"38","Spencer PLC","United Arab Emirates","7","http://www.schulist.com/","5",
"39","Erdman Ltd","Uzbekistan","4","http://ritchie.net/","6",
"40","Dickinson Ltd","Cote d'Ivoire","5","http://bayer.com/","7",
"41","Little Inc","Nicaragua","1","http://dare.com/","8",
"42","Johns, Steuber and Kassulke","Togo","3","http://brakus.com/","9",
"43","Hartmann-Schaden","Madagascar","10","http://www.shields.com/","10",
"44","Dicki Inc","Norfolk Island","1","http://www.gorczanyheaney.com/","11",
"45","Zemlak, Gutmann and Treutel","Central African Republic","7","http://bartoletti.com/","1",
"46","Sanford-Jakubowski","Netherlands Antilles","2","http://powlowski.com/","2",
"47","Rohan-Muller","Burkina Faso","8","http://www.bergstrom.com/","3",
"48","Rosenbaum PLC","Vietnam","4","http://www.mertz.com/","4",
"49","Huels LLC","Bosnia and Herzegovina","9","http://www.watsica.net/","5",
"50","Zemlak Group","Pitcairn Islands","9","http://torphy.org/","6",
