festival_year	festival_day	required_security_staff	required_secondary_staff	required_technicians
2016	1	1	1	2
2016	2	1	1	2
2016	3	1	1	2
2016	4	1	1	2
2017	1	1	1	2
2017	2	1	1	2
2017	3	1	1	2
2017	4	1	1	2
2018	1	1	1	4
2018	2	1	1	2
2019	1	1	1	2
2019	2	1	1	4
2019	3	1	1	4
2020	1	1	1	2
2020	2	1	1	2
2020	3	1	1	2
2021	1	1	1	4
2021	2	1	1	4
2021	3	1	1	2
2022	1	1	1	4
2022	2	1	1	4
2023	1	1	1	4
2023	2	1	1	4
2023	3	1	1	2
2024	1	1	1	2
2024	2	1	1	2
2024	3	1	1	2
2024	4	1	1	2
2024	5	1	1	2
2025	1	1	1	4
2025	2	1	1	4
2025	3	1	1	2
2025	4	1	1	2
2026	1	1	1	6
2027	1	1	1	2
2027	3	1	1	2
2027	5	1	1	2
